name;open;high;low;close;volume;marketCap;timestamp
"2798";259.5052011598;283.9155571429;252.4000014221;256.3000004343;66095655250.29837;0;"2021-01-25T00:00:00.000Z"
"2798";256.3000004343;318.1046795872;241.117902439;261.8000024438;18793135943.293587;0;"2021-02-01T00:00:00.000Z"
"2798";261.8000024438;580.0000051762;256.3011407715;478.7999962857;1940256332975.8713;0;"2021-02-08T00:00:00.000Z"
"2798";476.3999956954;477.9999997702;322.0999994791;333.2000044031;40678304269.02843;0;"2021-02-15T00:00:00.000Z"
"2798";335.0000033186;335.0000033186;210.1000801893;272.2000015052;9904369068.60318;0;"2021-02-22T00:00:00.000Z"
"2798";272.2000015052;298.4850251228;272.2000015052;288.6000044873;9764532823.690939;0;"2021-03-01T00:00:00.000Z"
"2798";288.6000044873;347.7000030852;283.2020466699;323.2000048094;20166552793.531025;0;"2021-03-08T00:00:00.000Z"
"2798";323.2000048094;451.8999955427;298.7378114082;399.9999977998;43175877948.02715;0;"2021-03-15T00:00:00.000Z"
"2798";399.9999977998;434.7623747929;325.0370585633;362.6000008473;21787110868.683277;0;"2021-03-22T00:00:00.000Z"
"2798";362.4999977585;523.9999997131;345.1940755161;500.9000034906;48196113871.758156;0;"2021-03-29T00:00:00.000Z"
"2798";503.2462620508;506.7926304551;330.4375557419;392.5999962843;0;0;"2021-04-05T00:00:00.000Z"
"2798";392.3000044827;409.6958702359;310.1999989152;349.8999977975;0;0;"2021-04-12T00:00:00.000Z"
"2798";349.8000017075;356.7638144034;190.8209098648;266.4999978282;0;0;"2021-04-19T00:00:00.000Z"
"2798";266.4999978282;382.2999973402;239.4794996681;345.3999988906;34209798825.818977;0;"2021-04-26T00:00:00.000Z"
"2798";346.8999968891;350.5547247566;250.3559770112;256.3000015739;26703757429.786266;0;"2021-05-03T00:00:00.000Z"
"2798";256.2996397974;266.5092606846;205.1000040107;207.0000032045;15844277425.394688;0;"2021-05-10T00:00:00.000Z"
"2798";206.9000010043;217.4370194402;91.1899979777;105.1000038054;15804769018.150303;0;"2021-05-17T00:00:00.000Z"
"2798";105.1000038054;143.0872068971;99.7100036017;119.9999955856;7579774516.4753065;0;"2021-05-24T00:00:00.000Z"
"2798";119.9999955856;137.0000011451;112.799994883;125.9000030401;5772490609.742519;0;"2021-05-31T00:00:00.000Z"
"2798";125.9000030401;167.8989211315;103.2000032831;117.0999995876;15284704072.421362;0;"2021-06-07T00:00:00.000Z"
"2798";117.0999995876;129.9009929429;99.9999947801;113.6999976962;17738711632.818783;0;"2021-06-14T00:00:00.000Z"
"2798";114.4000037726;115.6000031099;64.773836035;88.600002856;25524696412.624832;0;"2021-06-21T00:00:00.000Z"
"2798";88.600002856;119.8728130022;86.0120536322;112.2000027348;28547816922.120136;0;"2021-06-28T00:00:00.000Z"
"2798";112.2000027348;137.493482634;105.5098038932;114.6000027892;18632513568.447224;0;"2021-07-05T00:00:00.000Z"
"2798";114.6000027892;116.9999984121;98.0000054245;100.5999945259;5683227041.227157;0;"2021-07-12T00:00:00.000Z"
"2798";100.5999945259;100.5999945259;85.0002136905;89.529996011;5645580021.119084;0;"2021-07-19T00:00:00.000Z"
"2798";89.529996011;98.8700021493;87.1271945271;94.9900026933;7359687222.034634;0;"2021-07-26T00:00:00.000Z"
"2798";94.1251048287;162.1999974917;92.4779816357;107.9999968859;44423691065.51025;0;"2021-08-02T00:00:00.000Z"
"2798";107.9999968859;123.4999993228;101.4999970726;118.9999979333;11066860389.39027;0;"2021-08-09T00:00:00.000Z"
"2798";119.2999973713;175.6042278372;97.9099965539;101.8999981821;54849865587.64805;0;"2021-08-16T00:00:00.000Z"
